id,image_slot,author,poem_title,category,mood,stanza,source,license
S001,image_001,Walt Whitman,The Mystic Trumpeter,Dream & Night,Romantic,"O how the immortal phantoms crowd around me!
I see the vast alembic ever working, I see and know the flames that
heat the world,
The glow, the blush, the beating hearts of lovers,
So blissful happy some, and some so silent, dark, and nigh to death;
Love, that is all the earth to lovers--love, that mocks time and space,
Love, that is day and night--love, that is sun and moon and stars,
Love, that is crimson, sumptuous, sick with perfume,
No other words but words of love, no other thought but love.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
S002,image_002,Christina Rossetti,,Love & Devotion,Romantic,"Sweet my Love whom I loved to try for,
Sweet my Love whom I love and sigh for,
Will you once love me and sigh for me,
You my Love whom I love and die for?",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S003,image_003,Christina Rossetti,,Love & Separation,Romantic,"Longing and love, pangs of a perished pleasure,
Longing and love, a disenkindled fire,
And memory a bottomless gulf of mire,
And love a fount of tears outrunning measure;
Oh vanity of vanities, desire!",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S004,image_004,H. W. Longfellow,THE SICILIAN'S TALE,Dream & Night,Romantic,"By chance it happened that in Atri dwelt
A knight, with spur on heel and sword in belt,
Who loved to hunt the wild-boar in the woods,
Who loved his falcons with their crimson hoods,
Who loved his hounds and horses, and all sports
And prodigalities of camps and courts;--
Loved, or had loved them; for at last, grown old,
His only passion was the love of gold.",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S005,image_005,Percy Bysshe Shelley,,Love & Separation,Romantic,"Pan loved his neighbour Echo—but that child
Of Earth and Air pined for the Satyr leaping;
The Satyr loved with wasting madness wild
The bright nymph Lyda,—and so three went weeping.
As Pan loved Echo, Echo loved the Satyr,                             _5
The Satyr, Lyda; and so love consumed them.—
And thus to each—which was a woful matter—
To bear what they inflicted Justice doomed them;
For, inasmuch as each might hate the lover,
Each, loving, so was hated.—Ye that love not                        _10
Be warned—in thought turn this example over,
That when ye love, the like return ye prove not.",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
S006,image_006,Walt Whitman,A Song of Joys,Dream & Night,Romantic,"Yet O my soul supreme!
Knowist thou the joys of pensive thought?
Joys of the free and lonesome heart, the tender, gloomy heart?
Joys of the solitary walk, the spirit bow’d yet proud, the suffering
and the struggle?
The agonistic throes, the ecstasies, joys of the solemn musings day
or night?
Joys of the thought of Death, the great spheres Time and Space?
Prophetic joys of better, loftier love’s ideals, the divine wife,
the sweet, eternal, perfect comrade?
Joys all thine own undying one, joys worthy thee O soul.",https://www.gutenberg.org/ebooks/1322,Public domain / CC0 dataset
S007,image_007,Edgar Allan Poe,It was many and many a year ago,Dream & Night,Romantic,"For the moon never beams without bringing me dreams
Of the beautiful ANNABEL LEE;
And the stars never rise but I see the bright eyes
Of the beautiful ANNABEL LEE;
And so, all the night-tide, I lie down by the side
Of my darling—my darling—my life and my bride,
In her sepulchre there by the sea—
In her tomb by the side of the sea.",https://www.gutenberg.org/ebooks/76996,Public domain / CC0 dataset
S008,image_008,Christina Rossetti,,Love & Devotion,Romantic,"Heart answered heart, soul answered soul at rest,
Double against each other, filled, sufficed:
All loving, loved of all; but loving best
And best beloved of Christ.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S009,image_009,Christina Rossetti,,Love & Devotion,Romantic,"Heart answered heart, soul answered soul at rest,
Double against each other, filled, sufficed:                    190
All loving, loved of all; but loving best
And best beloved of Christ.",https://www.gutenberg.org/ebooks/16950,Public domain / CC0 dataset
S010,image_010,Christina Rossetti,,Love & Devotion,Romantic,"All love, are loved, save only I; their hearts
Beat warm with love and joy, beat full thereof:
They cannot guess, who play the pleasant parts,
My heart is breaking for a little love.
While beehives wake and whirr,
And rabbit thins his fur,
In living spring that sets the world astir.",https://www.gutenberg.org/ebooks/19188,Public domain / CC0 dataset
S011,image_011,Edna St. Vincent Millay,All I could see from where I stood,Love & Separation,Romantic,"The world stands out on either side
No wider than the heart is wide;
Above the world is stretched the sky,--
No higher than the soul is high.
The heart can push the sea and land
Farther away on either hand;
The soul can split the sky in two,
And let the face of God shine through.
But East and West will pinch the heart
That can not keep them pushed apart;
And he whose soul is flat--the sky
Will cave in on him by and by.",https://www.gutenberg.org/ebooks/109,Public domain / CC0 dataset
S012,image_012,H. W. Longfellow,RONDEL,Love & Devotion,Romantic,"Love, love, what wilt thou with this heart of mine?
Naught see I fixed or sure in thee!
I do not know thee,--nor what deeds are thine:
Love, love, what wilt thou with this heart of mine?
Naught see I fixed or sure in thee!",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
S013,image_013,Percy Bysshe Shelley,,Dream & Night,Romantic,"18.
‘It was a babe, beautiful from its birth,—
It was like thee, dear love, its eyes were thine,
Its brow, its lips, and so upon the earth                            _2985
It laid its fingers, as now rest on mine
Thine own, beloved!—’twas a dream divine;
Even to remember how it fled, how swift,
How utterly, might make the heart repine,—
Though ’twas a dream.’—Then Cythna did uplift                       _2990
Her looks on mine, as if some doubt she sought to shift:",https://www.gutenberg.org/ebooks/4800,Public domain / CC0 dataset
S014,image_014,Samuel Taylor Coleridge,,Beauty & Nature,Romantic,"Do you ask what the birds say? The Sparrow, the Dove,
The Linnet and Thrush say, 'I love and I love!'
In the winter they're silent--the wind is so strong;
What it says, I don't know, but it sings a loud song.
But green leaves, and blossoms, and sunny warm weather,              5
And singing, and loving--all come back together.
But the Lark is so brimful of gladness and love,
The green fields below him, the blue sky above,
That he sings, and he sings; and for ever sings he--
'I love my Love, and my Love loves me!'                             10",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
