id,image_slot,category,mood,short_text,romantic_text,extended_text
R001,image_001,Love,Tender,The calm you bring to my heart.,"I still smile when I think of the calm you bring to my heart, makes forever sound wonderfully simple.","I still smile when I think of the calm you bring to my heart, makes forever sound wonderfully simple. Let this moment stay with us a little longer."
R002,image_002,Love,Deep,The stories hidden in your smile.,"With you, the stories hidden in your smile, is a treasure I would choose again and again.","With you, the stories hidden in your smile, is a treasure I would choose again and again. Let this moment stay with us a little longer."
R003,image_003,Together,Warm,The memories we keep collecting.,"I never knew peace could feel like the memories we keep collecting, is a treasure I would choose again and again.","I never knew peace could feel like the memories we keep collecting, is a treasure I would choose again and again. Let this moment stay with us a little longer."
R004,image_004,Memories,Nostalgic,A simple walk beside you.,"Some memories become brighter when a simple walk beside you, makes the heart a little lighter.","Some memories become brighter when a simple walk beside you, makes the heart a little lighter. Let this moment stay with us a little longer."
R005,image_005,Dreams,Hopeful,The kindness in your eyes.,"A beautiful life begins with the kindness in your eyes, feels like home.","A beautiful life begins with the kindness in your eyes, feels like home. Let this moment stay with us a little longer."
R006,image_006,Forever,Devoted,The way your smile finds me.,"Even ordinary days feel special when the way your smile finds me, is more beautiful than any perfect plan.","Even ordinary days feel special when the way your smile finds me, is more beautiful than any perfect plan. Let this moment stay with us a little longer."
R007,image_007,Smile,Playful,The beautiful uncertainty of tomorrow.,"My heart remembers the beautiful uncertainty of tomorrow, is a gentle reminder that love grows in moments.","My heart remembers the beautiful uncertainty of tomorrow, is a gentle reminder that love grows in moments. Let this moment stay with us a little longer."
R008,image_008,Distance,Longing,The comfort of being understood.,"My heart remembers the comfort of being understood, is a treasure I would choose again and again.","My heart remembers the comfort of being understood, is a treasure I would choose again and again. Let this moment stay with us a little longer."
R009,image_009,Gratitude,Thankful,The little things we never plan.,"Somewhere between the little things we never plan, is the kind of magic I want to remember forever.","Somewhere between the little things we never plan, is the kind of magic I want to remember forever. Let this moment stay with us a little longer."
R010,image_010,Moments,Peaceful,The kindness in your eyes.,"A beautiful life begins with the kindness in your eyes, is a treasure I would choose again and again.","A beautiful life begins with the kindness in your eyes, is a treasure I would choose again and again. Let this moment stay with us a little longer."
R011,image_011,Love,Tender,The way time slows down around you.,"The sweetest part of today was the way time slows down around you, is the kind of magic I want to remember forever.","The sweetest part of today was the way time slows down around you, is the kind of magic I want to remember forever. Let this moment stay with us a little longer."
R012,image_012,Love,Deep,The memories we keep collecting.,"My heart remembers the memories we keep collecting, is proof that the little things can mean everything.","My heart remembers the memories we keep collecting, is proof that the little things can mean everything. Let this moment stay with us a little longer."
R013,image_013,Together,Warm,The comfort of being understood.,"Some memories become brighter when the comfort of being understood, feels like home.","Some memories become brighter when the comfort of being understood, feels like home. Let this moment stay with us a little longer."
R014,image_014,Memories,Nostalgic,A moment shared without words.,"Every time I see you, a moment shared without words, is a quiet reason to be grateful.","Every time I see you, a moment shared without words, is a quiet reason to be grateful. Let this moment stay with us a little longer."
R015,image_015,Dreams,Hopeful,The calm you bring to my heart.,"In the story of my life, the calm you bring to my heart, is a quiet reason to be grateful.","In the story of my life, the calm you bring to my heart, is a quiet reason to be grateful. Let this moment stay with us a little longer."
